,,Setup,,Auto,,,,,,,,,,,Teleop,,,,,,,,,
Alliance ,Team #,Hatches Hab,Balls Hab,"Cross line (0, 1, 2)",Hatches (#),,,,Balls (#),,,,"Prepares for teleop (0, 1)",Hatches (#),,,,Balls (#),,,,"Climb Level (0, 1, 2, 3)","Radio Problems (0, 1)","Match Winner (Blue = 0, Red = 1, Tie = 2)"
,,,,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,,
,192,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5025,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,
Del Mar Q10,,,,,,,,,,,,,,,,,,,,,,,,
Red,3021,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,2102,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,
,6948,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,
Blue,399,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,
,5526,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,6560,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,
Del Mar Q12,,,,,,,,,,,,,,,,,,,,,,,,
Red,3328,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,359,,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,
,399,,,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,
Blue,7426,6,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,
,2984,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
,6918,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Del Mar Q13,,,,,,,,,,,,,,,,,,,,,,,,
Red,3255,6,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1
,5526,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
,192,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,
Blue,7137,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
,3021,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5059,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
Del Mar Q15,,,,,,,,,,,,,,,,,,,,,,,,
Red,3256,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1
,4738,,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,
,1159,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
Blue,7426,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
,5137,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,
,6402,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Del Mar Q17,,,,,,,,,,,,,,,,,,,,,,,,
Red,4984,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,4415,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,
,2102,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,
Blue,8,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,
,5474,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
,114,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,
Del Mar Q19,,,,,,,,,,,,,,,,,,,,,,,,
Red,7426,6,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,1,1,0,0,1,0,2
,3021,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,399,,,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,
Blue,8,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,
,3647,,,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,
,6402,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Del Mar Q20,,,,,,,,,,,,,,,,,,,,,,,,
Red,2984,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,192,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,
,2543,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
Blue,2102,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,
,3255,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
